,prompt_length,A_length,B_length,C_length,D_length,E_length
0,175,164,199,189,196,192
1,92,285,280,284,288,282
2,107,323,367,363,337,360
3,91,221,219,259,235,211
4,182,243,241,249,239,269
5,154,462,463,530,395,379
6,98,217,233,219,240,191
7,126,256,274,227,258,289
8,126,12,11,9,9,9
9,46,181,128,163,118,152
10,79,263,273,266,261,268
11,85,240,174,123,180,128
12,277,311,267,289,243,284
13,24,169,176,160,183,302
14,85,307,258,222,202,191
15,38,60,58,58,78,77
16,67,70,61,68,21,21
17,29,234,186,133,173,209
18,77,154,150,147,155,148
19,44,288,319,286,308,317
20,124,72,174,82,119,78
21,53,104,125,115,118,128
22,40,168,170,186,131,138
23,48,98,135,135,101,122
24,60,12,9,9,9,12
25,50,135,133,118,124,305
26,93,255,151,181,137,181
27,45,186,196,199,196,199
28,106,472,662,471,242,587
29,53,113,143,212,104,111
30,26,263,271,261,271,264
31,91,22,18,20,20,17
32,41,274,381,209,337,378
33,80,257,257,256,259,258
34,28,217,219,224,220,227
35,55,86,88,63,125,74
36,66,424,426,423,425,426
37,111,126,63,87,95,72
38,32,111,75,77,104,183
39,44,134,131,132,132,133
40,38,254,258,253,254,261
41,50,92,92,92,92,93
42,106,10,15,16,18,17
43,52,353,412,395,447,398
44,28,193,192,166,200,170
45,28,315,316,277,257,242
46,157,36,38,35,32,33
47,116,68,45,79,79,73
48,72,218,224,215,215,224
49,21,271,270,258,253,249
50,55,136,194,130,146,156
51,160,24,31,18,16,22
52,20,203,164,211,158,166
53,71,44,36,45,52,38
54,58,25,25,30,7,16
55,55,121,123,121,120,123
56,27,66,57,101,60,45
57,58,135,194,206,117,85
58,23,233,194,194,186,194
59,37,191,195,195,184,180
60,206,122,132,124,76,74
61,172,205,207,207,205,207
62,35,143,129,139,143,133
63,37,137,93,126,97,134
64,142,7,8,7,7,6
65,82,10,14,17,16,35
66,54,120,113,160,121,126
67,69,76,54,55,62,115
68,47,376,387,393,393,404
69,37,84,76,108,219,111
70,58,56,54,55,59,60
71,90,224,250,221,249,249
72,21,46,46,45,51,50
73,123,75,80,75,77,80
74,50,29,24,32,24,31
75,72,17,17,17,17,17
76,102,118,118,93,93,86
77,144,55,38,45,56,71
78,25,111,124,315,109,137
79,45,101,95,93,99,99
80,57,88,88,124,122,100
81,173,10,23,11,20,6
82,82,70,171,176,171,178
83,50,106,69,74,72,60
84,27,92,91,88,88,88
85,153,144,141,138,141,141
86,88,84,84,84,84,84
87,131,19,14,10,13,11
88,39,216,210,214,210,216
89,129,187,190,195,182,192
90,37,179,197,176,202,160
91,24,103,205,131,133,101
92,49,221,198,214,216,221
93,80,134,115,115,122,162
94,77,101,108,100,136,100
95,39,76,93,189,83,87
96,51,10,10,21,13,15
97,31,211,265,247,267,249
98,35,152,152,172,155,147
99,32,120,121,120,119,121
100,27,52,50,69,100,74
101,87,22,19,41,18,22
102,94,18,31,38,32,31
103,83,72,134,121,94,188
104,65,244,234,243,244,245
105,27,239,251,248,257,245
106,46,112,49,21,34,38
107,30,98,98,102,112,124
108,60,113,91,164,94,162
109,130,135,87,138,139,136
110,86,280,199,219,199,219
111,75,90,191,125,203,88
112,150,3,4,5,3,4
113,47,50,53,58,53,58
114,26,138,160,167,286,114
115,21,106,109,130,89,169
116,92,138,142,182,168,144
117,34,245,245,272,249,250
118,105,102,114,49,54,79
119,67,230,233,233,99,99
120,29,218,213,218,218,213
121,49,16,17,20,16,16
122,76,1,2,2,1,2
123,30,172,141,126,123,152
124,78,67,62,63,68,63
125,27,72,80,84,88,80
126,61,75,86,76,86,74
127,38,97,81,198,105,79
128,35,65,163,70,83,163
129,72,88,65,92,124,122
130,80,57,72,61,62,67
131,39,275,270,264,231,240
132,81,30,14,22,21,33
133,29,200,210,198,195,209
134,19,79,60,82,69,76
135,70,5,8,11,9,12
136,68,65,82,69,66,103
137,79,95,94,92,96,95
138,62,164,97,87,81,93
139,50,46,52,47,49,81
140,69,129,82,227,117,117
141,77,213,185,217,216,253
142,27,129,122,126,123,129
143,57,95,59,49,91,52
144,19,108,109,115,106,108
145,21,57,104,101,101,105
146,34,136,77,159,154,102
147,49,96,97,96,90,71
148,31,100,157,94,92,92
149,76,224,278,165,266,141
150,101,456,451,441,450,460
151,73,395,401,396,400,398
152,74,178,169,178,143,135
153,55,226,203,219,231,215
154,63,237,202,221,263,237
155,116,234,227,240,228,241
156,26,159,161,163,163,123
157,51,264,209,266,204,206
158,43,406,364,365,407,408
159,38,261,251,241,259,214
160,140,202,198,184,193,187
161,55,258,258,265,267,265
162,47,368,349,347,352,344
163,130,408,542,405,401,390
164,43,254,294,292,268,274
165,30,256,221,273,273,217
166,58,268,279,271,261,262
167,58,93,50,101,131,100
168,71,247,283,191,276,259
169,93,194,137,150,90,60
170,129,154,321,314,201,192
171,38,173,199,146,147,202
172,84,121,119,121,92,121
173,185,97,145,116,93,97
174,57,148,144,137,144,148
175,48,109,85,142,94,127
176,98,227,216,98,216,227
177,91,112,179,238,235,130
178,97,152,141,151,151,142
179,116,264,252,300,274,283
180,74,201,195,194,197,172
181,102,117,117,118,120,116
182,115,8,6,6,6,26
183,98,368,370,370,370,368
184,108,391,353,405,402,397
185,86,362,155,180,195,310
186,104,165,178,139,180,161
187,80,325,316,312,321,319
188,113,164,180,217,217,165
189,69,91,144,144,111,144
190,109,344,345,335,414,320
191,72,221,102,254,254,261
192,32,288,285,288,289,289
193,69,180,251,249,176,178
194,49,162,160,158,166,168
195,128,210,169,213,139,187
196,56,262,271,268,265,271
197,123,200,207,200,199,201
198,111,247,324,325,323,246
199,88,207,205,191,195,205
